
Výraz	Úroveň	Typ	Slovní druh	Rod	Číslo	Vid	Kapitoly
cédéčko	A1	slovo	substantivum	neutrum	singulár		6.5.5
celý	A1	slovo	adjektivum				4.2.3; 6.6.5
cena	A1	slovo	substantivum	femininum	singulár		4.6.12; 6.8.4; 6.8.6
centimetr	A1	slovo	substantivum	maskulinum	singulár		4.3.2; 4.3.3
cesta	A1	slovo	substantivum	femininum	singulár		6.9.12
cestovat	A1	slovo	verbum			imperfektivní	6.5.2; 6.5.6
cestující	A1	slovo	substantivum	maskulinum	singulár		6.9.8
cibule	A1	slovo	substantivum	femininum	singulár		6.3.10
cirkus	A1	slovo	substantivum	maskulinum	singulár		6.5.10
cítit	A1	slovo	verbum			imperfektivní	4.6.7
citron	A1	slovo	substantivum	maskulinum	singulár		6.3.10
cizí	A1	slovo	adjektivum				4.8.9; 6.14.1
cizinec	A1	slovo	substantivum	maskulinum	singulár		6.1.9; 6.11.6; 6.14.2
cizinecký	A1	slovo	adjektivum				6.12.1
cizinka	A1	slovo	substantivum	femininum	singulár		6.1.9; 6.14.2
co	A1	slovo	pronomen				4.6.9; 5.1.8; 5.2.30; 5.2.35; 5.3.4; 5.3.22; 5.33.29; 5.4.8; 5.7.1
cukr	A1	slovo	substantivum	maskulinum	singulár		6.3.13
cukrárna	A1	slovo	substantivum	femininum	singulár		6.8.1
cukrovka (nemoc)	A1	slovo	substantivum	femininum	singulár		6.7.5
cvičení	A1	slovo	substantivum	neutrum	singulár		6.10.5; 6.10.6
cvičit	A1	slovo	verbum			imperfektivní	6.5.7; 6.10.5
čaj	A1	slovo	substantivum	maskulinum	singulár		6.3.14
čas	A1	slovo	substantivum	maskulinum	singulár		4.5.1
časopis	A1	slovo	substantivum	maskulinum	singulár		6.5.14
často	A1	slovo	adverbium				4.5.13; 5.1.8
čau	A1	slovo	interjekce				5.5.15
čekárna	A1	slovo	substantivum	femininum	singulár		6.7.7; 6.9.10
čekat	A1	slovo	verbum			imperfektivní	6.9.10
čepice	A1	slovo	substantivum	femininum	singulár		6.8.3
černý	A1	slovo	adjektivum				4.6.8
čerstvý	A1	slovo	adjektivum				6.3.7
červen	A1	slovo	substantivum	maskulinum	singulár		4.5.1
červenec	A1	slovo	substantivum	maskulinum	singulár		4.5.1
červený	A1	slovo	adjektivum				4.6.8; 6.3.14
česat se	A1	slovo	verbum			imperfektivní	6.4.2
česky	A1	slovo	adverbium				5.7.9; 6.14.1
česnek	A1	slovo	substantivum	maskulinum	singulár		6.3.10
čeština	A1	slovo	substantivum	femininum	singulár		6.10.7; 6.14.1
čí	A1	slovo	pronomen				4.8.9; 5.1.8
číslo	A1	slovo	substantivum	neutrum	singulár		4.2.1; 4.3.1; 5.6.11; 5.6.15; 6.1.3; 6.1.4; 6.1.12; 6.8.5
číst	A1	slovo	verbum			imperfektivní	6.5.2; 6.5.14; 6.10.5; 6.14.1
čistírna	A1	slovo	substantivum	femininum	singulár		6.8.8
čistit	A1	slovo	verbum			imperfektivní	4.6.3; 6.4.2; 6.4.3; 6.8.9
čistý	A1	slovo	adjektivum				4.6.3; 6.6.6
číšnice	A1	slovo	substantivum	femininum	singulár		6.3.3; 6.6.1
číšník	A1	slovo	substantivum	maskulinum	singulár		6.3.3; 6.6.1
člověk	A1	slovo	substantivum	maskulinum	singulár		6.1.15
čokoláda	A1	slovo	substantivum	femininum	singulár		6.3.9
čtvrtek	A1	slovo	substantivum	maskulinum	singulár		4.5.1
daleko	A1	slovo	adverbium				4.3.4; 5.1.8
dálnice	A1	slovo	substantivum	femininum	singulár		6.9.4
další	A1	slovo	adjektivum				4.2.4
dámy (označení toalety)	A1	slovo	substantivum	femininum	plurál		6.1.7
dárek	A1	slovo	substantivum	maskulinum	singulár		6.8.2
dát	A1	slovo	verbum			perfektivní	4.4.7; 4.4.14; 6.6.5; 6.7.4
dát si	A1	slovo	verbum			perfektivní	5.5.8; 6.3.3; 6.8.4
datum	A1	slovo	substantivum	neutrum	singulár		4.5.1; 6.1.5
dcera	A1	slovo	substantivum	femininum	singulár		6.1.13
dědeček	A1	slovo	substantivum	maskulinum	singulár		6.1.13
děkovat	A1	slovo	verbum			imperfektivní	5.4.19; 5.4.20; 5.5.3; 5.5.6; 5.5.9; 5.5.10; 5.5.21; 5.5.26; 5.5.28; 5.6.19; 5.6.20
děkuju	A1	slovo	verbum			imperfektivní	5.5.3; 5.5.21; 5.5.23; 5.6.20
dělat sport	A1	slovo	verbum			imperfektivní	6.5.7
dělnice	A1	slovo	substantivum	femininum	singulár		6.6.1
dělník	A1	slovo	substantivum	maskulinum	singulár		6.6.1
demokratický	A1	slovo	adjektivum				6.14.4
den	A1	slovo	substantivum	maskulinum	singulár		4.5.1; 5.5.14; 5.6.1
denně	A1	slovo	adverbium				4.5.13
deset	A1	slovo	numerále				4.2.1
déšť	A1	slovo	substantivum	maskulinum	singulár		6.13.3
deštník	A1	slovo	substantivum	maskulinum	singulár		6.8.3
děti	A1	slovo	substantivum	femininum	plurál		6.1.6; 6.1.13
dévédéčko	A1	slovo	substantivum	neutrum	singulár		6.5.5
dezert	A1	slovo	substantivum	maskulinum	singulár		6.3.5; 6.3.9
diplom	A1	slovo	substantivum	maskulinum	singulár		6.10.9
diskotéka	A1	slovo	substantivum	femininum	singulár		6.5.11
dítě	A1	slovo	substantivum	neutrum	singulár		4.6.13; 6.1.6; 6.1.13; 6.7.13; 6.11.5
divadlo	A1	slovo	substantivum	neutrum	singulár		6.5.10
dívat se	A1	slovo	verbum			imperfektivní	4.6.4; 6.5.2; 6.8.5
dívka	A1	slovo	substantivum	femininum	singulár		6.1.7
dlouho	A1	slovo	adverbium				4.5.12; 5.1.8
dlouhodobý	A1	slovo	adjektivum				6.11.6
dlouhý	A1	slovo	adjektivum				4.3.3; 4.5.12; 6.1.14
dnes	A1	slovo	adverbium				4.5.3
do	A1	slovo	prepozice				5.1.9; 5.6.12; 6.2.6; 6.6.5
doba	A1	slovo	substantivum	femininum	singulár		4.5.1; 6.6.5; 6.8.4
dobrý	A1	slovo	adjektivum				4.7.1; 4.7.4; 5.4.3; 5.4.9; 5.5.14; 5.5.26; 5.6.1
dobře	A1	slovo	adverbium				5.4.2; 5.4.9
dohromady	A1	slovo	adverbium				6.3.3
doklad	A1	slovo	substantivum	maskulinum	singulár		6.1.12; 6.9.6; 6.11.1
dole	A1	slovo	adverbium				4.4.2
dolů	A1	slovo	adverbium				4.4.19
doma	A1	slovo	adverbium				4.4.2
domácí	A1	slovo	adjektivum				6.2.5; 6.4.3; 6.8.1
domácnost	A1	slovo	substantivum	femininum	singulár		6.6.2
domů	A1	slovo	adverbium				4.4.19
dopis	A1	slovo	substantivum	maskulinum	singulár		6.8.11
dopoledne	A1	slovo	adverbium				4.5.1
doporučit	A1	slovo	verbum			perfektivní	6.3.3; 6.8.6
doprava	A1	slovo	adverbium				4.4.19
dopředu	A1	slovo	adverbium				4.4.19
dort	A1	slovo	substantivum	maskulinum	singulár		6.3.9
dospělý	A1	slovo	substantivum	maskulinum	singulár		4.6.13; 6.1.6
dovolená	A1	slovo	substantivum	femininum	singulár		6.5.1; 6.6.2; 6.11.4
dozadu	A1	slovo	adverbium				4.4.19
drahý	A1	slovo	adjektivum				4.6.12; 6.2.2; 6.8.4
drobné (peníze)	A1	slovo	substantivum	neutrum	plurál		6.8.7
drogerie	A1	slovo	substantivum	femininum	singulár		6.8.1
drůbež	A1	slovo	substantivum	femininum	singulár		6.3.7
druhý	A1	slovo	numerále				4.2.4
duben	A1	slovo	substantivum	maskulinum	singulár		4.5.1
důchod	A1	slovo	substantivum	maskulinum	singulár		6.11.4
důchodce	A1	slovo	substantivum	maskulinum	singulár		6.6.2; 6.11.4
důchodkyně	A1	slovo	substantivum	femininum	singulár		6.6.2; 6.11.4
důležitý	A1	slovo	adjektivum				4.7.6
dům	A1	slovo	substantivum	maskulinum	singulár		6.1.3; 6.2.1; 6.5.10
dva	A1	slovo	numerále				4.2.1
dvacet	A1	slovo	numerále				4.2.1
dvakrát	A1	slovo	numerále				4.5.13
DVD	A1	slovo	substantivum	neutrum	singulár		6.5.5
dveře	A1	slovo	substantivum	femininum	pluralium tantum		6.2.3
dýchat	A1	slovo	verbum			imperfektivní	6.7.2; 6.7.4
džus	A1	slovo	substantivum	maskulinum	singulár		6.3.14
e-mail	A1	slovo	substantivum	maskulinum	singulár		6.1.4
ekonomie	A1	slovo	substantivum	femininum	singulár		6.10.7
elektřina	A1	slovo	substantivum	femininum	singulár		6.2.5; 6.2.6
empétrojka	A1	slovo	substantivum	femininum	singulár		6.5.5
evropský	A1	slovo	adjektivum				6.14.3
fakulta	A1	slovo	substantivum	femininum	singulár		6.10.1
farma	A1	slovo	substantivum	femininum	singulár		6.6.3
farmář	A1	slovo	substantivum	maskulinum	singulár		6.6.1
farmářka	A1	slovo	substantivum	femininum	singulár		6.6.1
fax	A1	slovo	substantivum	maskulinum	singulár		6.1.4
fialový	A1	slovo	adjektivum				4.6.8
film	A1	slovo	substantivum	maskulinum	singulár		6.5.3; 6.5.6; 6.5.10
firma	A1	slovo	substantivum	femininum	singulár		6.6.3
fitness	A1	slovo	substantivum	neutrum	singulár		6.5.9
fotbal	A1	slovo	substantivum	maskulinum	singulár		6.5.7
fotbalista	A1	slovo	substantivum	maskulinum	singulár		6.5.7
fotografovat	A1	slovo	verbum			imperfektivní	6.5.6
foukat	A1	slovo	verbum			imperfektivní	6.13.3
fungovat	A1	slovo	verbum			imperfektivní	4.6.11; 6.2.5
fyzika	A1	slovo	substantivum	femininum	singulár		6.10.7
galerie	A1	slovo	substantivum	femininum	singulár		6.5.10
garáž	A1	slovo	substantivum	femininum	singulár		6.2.3
gauč	A1	slovo	substantivum	maskulinum	singulár		6.2.4
gram	A1	slovo	substantivum	maskulinum	singulár		4.3.6
guláš	A1	slovo	substantivum	maskulinum	singulár		6.3.6
gynekolog	A1	slovo	substantivum	maskulinum	singulár		6.7.6
gynekoložka	A1	slovo	substantivum	femininum	singulár		6.7.6
haló	A1	slovo	interjekce				5.5.11; 5.6.6; 5.6.16
hasič	A1	slovo	substantivum	maskulinum	singulár		6.12.2
herec	A1	slovo	substantivum	maskulinum	singulár		6.5.12
herečka	A1	slovo	substantivum	femininum	singulár		6.5.12
hezký	A1	slovo	adjektivum				5.3.2; 5.4.2; 5.4.3; 5.5.33 6.1.14
hlad	A1	slovo	substantivum	maskulinum	singulár		6.3.1
hláskovat	A1	slovo	verbum			imperfektivní	5.7.8
hlava	A1	slovo	substantivum	femininum	singulár		6.7.1
hlavní	A1	slovo	adjektivum				6.3.5; 6.9.4; 6.14.4
hledat	A1	slovo	verbum			imperfektivní	6.6.7
hloupý	A1	slovo	adjektivum				6.1.15
hluk	A1	slovo	substantivum	maskulinum	singulár		4.6.5
hned	A1	slovo	adverbium				4.3.4; 4.5.7; 5.4.17
hnědý	A1	slovo	adjektivum				4.6.8
hobby	A1	slovo	substantivum	neutrum	singulár		6.5.6
hodina	A1	slovo	substantivum	femininum	singulár		4.5.1; 6.7.4; 6.10.6
hodiny	A1	slovo	substantivum	femininum	plurál		6.11.1
hodně	A1	slovo	adverbium				4.2.3; 4.2.8; 5.5.33
hodný	A1	slovo	adjektivum				5.4.4; 5.4.5; 6.1.15; 6.10.4
hokej	A1	slovo	substantivum	maskulinum	singulár		6.5.7
hokejista	A1	slovo	substantivum	maskulinum	singulár		6.5.7
holič	A1	slovo	substantivum	maskulinum	singulár		6.8.10
holičství	A1	slovo	substantivum	neutrum	singulár		6.8.8
holka	A1	slovo	substantivum	femininum	singulár		6.1.7
hora	A1	slovo	substantivum	femininum	singulár		6.13.1
horko	A1	slovo	adverbium				4.3.9
horký	A1	slovo	adjektivum				4.3.9
hory	A1	slovo	substantivum	femininum	plurál		6.13.1
hořčice	A1	slovo	substantivum	femininum	singulár		6.3.13
hořet	A1	slovo	verbum			imperfektivní	6.12.2
hospoda	A1	slovo	substantivum	femininum	singulár		6.3.2; 6.5.2
host	A1	slovo	substantivum	maskulinum	singulár		6.14.2
hotově	A1	slovo	adverbium				6.3.3; 6.8.7
houska	A1	slovo	substantivum	femininum	singulár		6.3.11
hovězí	A1	slovo	adjektivum				6.3.7
hra	A1	slovo	substantivum	femininum	singulár		6.5.5; 6.5.10
hranolky	A1	slovo	substantivum	maskulinum	plurál		6.3.8; 6.5.10
hrát	A1	slovo	verbum			imperfektivní	6.5.5; 6.5.6; 6.5.7; 6.5.8
hruška	A1	slovo	substantivum	femininum	singulár		6.3.10
hřiště	A1	slovo	substantivum	neutrum	singulár		6.5.6; 6.5.9
hubený	A1	slovo	adjektivum				6.1.14
hudba	A1	slovo	substantivum	femininum	singulár		6.5.4; 6.5.6; 6.5.15; 6.1.14
hudebnice	A1	slovo	substantivum	femininum	singulár		6.5.12
hudebník	A1	slovo	substantivum	maskulinum	singulár		6.5.12
hypermarket	A1	slovo	substantivum	maskulinum	singulár		6.8.1
chata	A1	slovo	substantivum	femininum	singulár		6.5.2
chladno	A1	slovo	adverbium				4.3.9; 6.13.3
chladný	A1	slovo	adjektivum				4.3.9
chlapec	A1	slovo	substantivum	maskulinum	singulár		6.1.7
chleba	A1	slovo	substantivum	maskulinum	singulár		6.3.11
chodit	A1	slovo	verbum			imperfektivní	4.4.4; 6.4.1; 6.5.2; 6.5.6; 6.5.11
chřipka	A1	slovo	substantivum	femininum	singulár		6.7.5
chtít	A1	slovo	verbum			imperfektivní	5.2.30; 5.2.35; 5.2.36; 5.2.38; 5.3.10; 5.3.11; 5.3.29; 5.4.8; 5.5.5
chutnat	A1	slovo	verbum			imperfektivní	4.6.6; 5.3.4; 5.3.5; 5.3.6; 5.7.6
chvíle	A1	slovo	substantivum	femininum	singulár		4.5.1
chyba	A1	slovo	substantivum	femininum	singulár		4.7.2; 5.3.4; 6.8.7; 6.10.8
chytrý	A1	slovo	adjektivum				6.1.15
i	A1	slovo	konjunkce				4.8.1
infarkt	A1	slovo	substantivum	maskulinum	singulár		6.7.5
informace	A1	slovo	substantivum	femininum	singulár		6.9.10
informatik	A1	slovo	substantivum	maskulinum	singulár		6.6.1
informatika	A1	slovo	substantivum	femininum	singulár		6.10.7
informovat	A1	slovo	verbum			imperfektivní	6.6.1
Ing.	A1	slovo	substantivum	maskulinum / femininum	singulár		6.1.2
injekce	A1	slovo	substantivum	femininum	singulár		6.7.4; 6.7.8
inzerát	A1	slovo	substantivum	maskulinum	singulár		6.6.7
já	A1	slovo	pronomen				5.6.16
jablko	A1	slovo	substantivum	neutrum	singulár		6.3.10
jak	A1	slovo	adverbium				4.3.2; 4.3.4; 5.1.8; 5.1.9
jako	A1	slovo	adverbium				4.8.8
jaký	A1	slovo	pronomen				5.1.8; 5.3.32
jaro	A1	slovo	substantivum	neutrum	singulár		4.5.1
jasno	A1	slovo	adverbium				4.6.4; 6.13.3
jazyk (část těla)	A1	slovo	substantivum	maskulinum	singulár		6.7.1
jazyk (řeč)	A1	slovo	substantivum	maskulinum	singulár		6.14.1
jazykový	A1	slovo	adjektivum				6.10.1
jazyky	A1	slovo	substantivum	maskulinum	plurál		6.10.7
jazz	A1	slovo	substantivum	maskulinum	singulár		6.5.15
jeden	A1	slovo	numerále				4.2.1
jednou	A1	slovo	numerále				4.5.13; 5.7.3
jen	A1	slovo	adverbium				4.2.7; 5.4.15
jenom	A1	slovo	adverbium				4.2.7
ještě	A1	slovo	adverbium				4.5.11; 4.5.13; 5.7.3
jet	A1	slovo	verbum			imperfektivní	4.4.4; 6.9.1; 6.9.4
jezdit	A1	slovo	verbum			imperfektivní	4.4.4; 6.9.1
jídelna	A1	slovo	substantivum	femininum	singulár		6.3.2; 6.10.2
jídelní	A1	slovo	adjektivum				6.3.3; 6.9.10
jídlo	A1	slovo	substantivum	neutrum	singulár		6.3.1; 6.3.5
jih	A1	slovo	substantivum	maskulinum	singulár		4.4.3
jiný	A1	slovo	adjektivum				4.8.8
jíst	A1	slovo	verbum			imperfektivní	6.3.1
jít	A1	slovo	verbum			imperfektivní	4.4.4; 6.4.1; 6.5.11; 6.7.4; 5.3.34; 5.4.8
jízdenka	A1	slovo	substantivum	femininum	singulár		6.9.8
jízdní	A1	slovo	adjektivum				6.9.9
jméno	A1	slovo	substantivum	neutrum	singulár		6.1.1
jmenovat se	A1	slovo	verbum			imperfektivní	5.5.19; 5.7.9; 6.1.1
jogurt	A1	slovo	substantivum	maskulinum	singulár		6.3.12
kabát	A1	slovo	substantivum	maskulinum	singulár		6.8.3
kabinka	A1	slovo	substantivum	femininum	singulár		6.8.5
kadeřnice	A1	slovo	substantivum	femininum	singulár		6.6.1; 6.8.10
kadeřnictví	A1	slovo	substantivum	neutrum	singulár		6.8.8
kafe	A1	slovo	substantivum	neutrum	singulár		6.3.14
kakao	A1	slovo	substantivum	neutrum	singulár		6.3.14
kalhoty	A1	slovo	substantivum	femininum	pluralium tantum		6.8.3
kam	A1	slovo	adverbium				4.4.3; 4.4.4; 4.4.5; 4.4.6; 4.4.7; 4.4.8; 4.4.9; 4.4.10; 4.4.11; 4.4.13; 4.4.14; 4.4.17; 5.1.8; 5.1.9
kamarád	A1	slovo	substantivum	maskulinum	singulár		6.14.2
kamarádka	A1	slovo	substantivum	femininum	singulár		6.14.2
kámen	A1	slovo	substantivum	maskulinum	singulár		4.6.9
kancelář	A1	slovo	substantivum	femininum	singulár		6.8.8
karta	A1	slovo	substantivum	femininum	singulár		6.5.6; 6.7.11; 6.8.7; 6.8.12; 6.11.5
kartáček	A1	slovo	substantivum	maskulinum	singulár		6.4.2
karty	A1	slovo	substantivum	femininum	plurál		6.5.6
kašel	A1	slovo	substantivum	maskulinum	singulár		6.7.2
kašlat	A1	slovo	verbum			imperfektivní	6.7.2
káva	A1	slovo	substantivum	femininum	singulár		6.3.14
každý	A1	slovo	pronomen				4.4.4; 4.5.13
kde	A1	slovo	adverbium				4.4.1; 4.4.2; 4.4.3; 4.4.18; 5.1.8; 5.1.9; 5.6.10
kdo	A1	slovo	pronomen				5.1.8
kdy	A1	slovo	adverbium				4.5.1; 4.5.3; 4.5.4; 4.5.9; 4.5.10; 5.1.8
kečup	A1	slovo	substantivum	maskulinum	singulár		6.3.13
kilo	A1	slovo	substantivum	neutrum	singulár		4.2.3; 4.3.6
kilogram	A1	slovo	substantivum	maskulinum	singulár		4.3.6
kilometr	A1	slovo	substantivum	maskulinum	singulár		4.3.3; 4.3.7
kino	A1	slovo	substantivum	neutrum	singulár		6.5.10
klasický	A1	slovo	adjektivum				6.5.15
klid	A1	slovo	substantivum	maskulinum	singulár		4.6.5; 5.3.35
klidný	A1	slovo	adjektivum				4.6.5; 6.1.14
kluk	A1	slovo	substantivum	maskulinum	singulár		6.1.7
knedlík	A1	slovo	substantivum	maskulinum	singulár		5.3.4; 6.3.8
kniha	A1	slovo	substantivum	femininum	singulár		6.5.14; 6.10.2
kočka	A1	slovo	substantivum	femininum	singulár		6.13.2
kojit	A1	slovo	verbum			imperfektivní	6.7.10
kola	A1	slovo	substantivum	femininum	singulár		6.3.14
kolej (doprava)	A1	slovo	substantivum	femininum	singulár		6.9.10
kolek	A1	slovo	substantivum	maskulinum	singulár		6.8.11
koleno	A1	slovo	substantivum	neutrum	singulár		6.7.1
kolik	A1	slovo	numerále				4.2.1; 4.2.3; 4.2.4; 4.5.1; 4.6.13; 5.1.8
kolikátý	A1	slovo	numerále				4.2.4
kolikrát	A1	slovo	numerále				4.5.13
kolo (jízdní kolo)	A1	slovo	substantivum	neutrum	singulár		6.5.6; 6.5.9; 6.9.1
komedie	A1	slovo	substantivum	femininum	singulár		6.5.11
koncert	A1	slovo	substantivum	maskulinum	singulár		6.5.11
končit	A1	slovo	verbum			imperfektivní	4.5.10; 6.5.11
konec	A1	slovo	substantivum	maskulinum	singulár		4.5.10
konečný	A1	slovo	adjektivum				6.9.8
kontaktní	A1	slovo	adjektivum				6.1.3
kontrola	A1	slovo	substantivum	femininum	singulár		6.7.4; 6.9.6
kontrolovat	A1	slovo	verbum			imperfektivní	6.12.1
konverzace	A1	slovo	substantivum	femininum	singulár		6.10.6
kopec	A1	slovo	substantivum	maskulinum	singulár		6.13.1
kosmetička	A1	slovo	substantivum	femininum	singulár		6.8.10
kosmetika	A1	slovo	substantivum	femininum	singulár		6.8.8
kostel	A1	slovo	substantivum	maskulinum	singulár		6.1.11
košile	A1	slovo	substantivum	femininum	singulár		6.8.3
koupat se	A1	slovo	verbum			imperfektivní	6.4.2
koupelna	A1	slovo	substantivum	femininum	singulár		6.2.3
koupit	A1	slovo	verbum			perfektivní	6.2.2; 6.8.4
kov	A1	slovo	substantivum	maskulinum	singulár		4.6.9
kožený	A1	slovo	adjektivum				4.6.9; 6.8.1
kraj (správní jednotka)	A1	slovo	substantivum	maskulinum	singulár		6.14.4
krajský	A1	slovo	adjektivum				6.14.4
krásný	A1	slovo	adjektivum				6.1.14
krátký	A1	slovo	adjektivum				4.3.3; 4.5.12; 6.1.14
krém	A1	slovo	substantivum	maskulinum	singulár		6.4.2
kreslit	A1	slovo	verbum			imperfektivní	6.10.5
krev	A1	slovo	substantivum	femininum	singulár		6.7.4
krk	A1	slovo	substantivum	maskulinum	singulár		5.3.34; 6.7.1
křestní	A1	slovo	adjektivum				6.1.1
křižovatka	A1	slovo	substantivum	femininum	singulár		6.9.4
který	A1	slovo	pronomen				4.5.1; 5.1.8
kuchař	A1	slovo	substantivum	maskulinum	singulár		6.3.3
kuchařka	A1	slovo	substantivum	femininum	singulár		6.3.3
kuchyň/kuchyně	A1	slovo	substantivum	femininum	singulár		6.2.3; 6.3.3
kupovat	A1	slovo	verbum			imperfektivní	6.2.2; 6.8.4
kurz (vyučovací kurz)	A1	slovo	substantivum	maskulinum	singulár		6.10.1
kuře	A1	slovo	substantivum	neutrum	singulár		6.3.7
kůže (materiál)	A1	slovo	substantivum	femininum	singulár		4.6.9
květen	A1	slovo	substantivum	maskulinum	singulár		4.5.1
květina	A1	slovo	substantivum	femininum	singulár		6.13.2
laboratoř	A1	slovo	substantivum	maskulinum	singulár		6.7.4; 6.7.7; 6.7.11
lampa	A1	slovo	substantivum	femininum	singulár		6.2.5
leden	A1	slovo	substantivum	maskulinum	singulár		4.5.1
lednička	A1	slovo	substantivum	femininum	singulár		6.2.5
lehký	A1	slovo	adjektivum				4.3.6; 4.7.5; 6.6.5
lék	A1	slovo	substantivum	maskulinum	singulár		6.7.4; 6.8.6
lékárna	A1	slovo	substantivum	femininum	singulár		6.8.1
lékárnice	A1	slovo	substantivum	femininum	singulár		6.8.6
lékárník	A1	slovo	substantivum	maskulinum	singulár		6.8.6
lékař	A1	slovo	substantivum	maskulinum	singulár		6.6.1; 6.7.6
lékařka	A1	slovo	substantivum	femininum	singulár		6.6.1; 6.7.6
lékařský	A1	slovo	adjektivum				6.7.11
les	A1	slovo	substantivum	maskulinum	singulár		6.13.1
léta (rok)	A1	slovo	substantivum	neutrum	plurál		6.1.6
letadlo	A1	slovo	substantivum	neutrum	singulár		6.9.1
letenka	A1	slovo	substantivum	femininum	singulár		6.9.11
letět	A1	slovo	verbum			imperfektivní	4.4.4
letiště	A1	slovo	substantivum	neutrum	singulár		6.9.11
léto	A1	slovo	substantivum	neutrum	singulár		4.5.1
levný	A1	slovo	adjektivum				4.6.12; 6.2.2; 6.8.4
ležet	A1	slovo	verbum			imperfektivní	4.4.1; 6.7.4
líbit se	A1	slovo	verbum			imperfektivní	5.3.1; 5.3.2; 5.3.3
