
Výraz	Úroveň	Typ	Slovní druh	Rod	Číslo	Vid	Kapitoly
čerpací	A2	slovo	adjektivum				6.9.5
červená (barva na semaforu)	A2	slovo	substantivum	femininum	singulár		6.9.4
činnost	A2	slovo	substantivum	femininum	singulár		6.6.5
číslice	A2	slovo	substantivum	femininum	singulár		4.2.1
čisticí	A2	slovo	adjektivum				6.4.3
čisto	A2	slovo	adverbium				4.6.3
článek (napsaný text)	A2	slovo	substantivum	maskulinum	singulár		6.5.14
člen	A2	slovo	substantivum	maskulinum	singulár		6.14.2
členka	A2	slovo	substantivum	femininum	singulár		6.14.2
čtenář	A2	slovo	substantivum	maskulinum	singulár		6.5.14
čtenářka	A2	slovo	substantivum	femininum	singulár		6.5.14
čtverec	A2	slovo	substantivum	maskulinum	singulár		4.6.1
čtvereční	A2	slovo	adjektivum				4.3.7
čtvrt (část celku)	A2	slovo	substantivum	femininum	singulár		4.2.3; 4.5.1
čtvrtka (část celku)	A2	slovo	substantivum	femininum	singulár		4.2.3; 4.5.1
dámský	A2	slovo	adjektivum				6.4.2
daň	A2	slovo	substantivum	femininum	singulár		6.11.3
daňový	A2	slovo	adjektivum				6.11.3
datový	A2	slovo	adjektivum				6.8.11; 6.10.3
dávat	A2	slovo	verbum			imperfektivní	4.4.7; 6.5.3; 6.5.10
dávka	A2	slovo	substantivum	femininum	singulár		6.11.5
deci	A2	slovo	substantivum	neutrum	singulár		4.3.8
decilitr	A2	slovo	substantivum	maskulinum	singulár		4.3.8
dějepis	A2	slovo	substantivum	maskulinum	singulár		6.10.7
dekagram	A2	slovo	substantivum	maskulinum	singulár		4.3.6
deko	A2	slovo	substantivum	neutrum	singulár		4.3.6
dělat	A2	slovo	verbum			imperfektivní	5.1.8; 5.2.30; 5.3.22; 5.3.29; 6.4.1; 6.5.7; 6.10.8
dělat rád	A2	slovo	verbum			imperfektivní	5.3.10
dělat si	A2	slovo	verbum			imperfektivní	5.3.31
délka	A2	slovo	substantivum	femininum	singulár		4.3.3
denní	A2	slovo	adjektivum				4.5.1; 6.3.5
detektivka	A2	slovo	substantivum	femininum	singulár		6.5.3; 6.5.14
dětský	A2	slovo	adjektivum				6.2.3; 6.7.6
diabetička	A2	slovo	substantivum	femininum	singulár		6.7.11
diabetik	A2	slovo	substantivum	maskulinum	singulár		6.7.11
dieta	A2	slovo	substantivum	femininum	singulár		6.7.4
dík(y)	A2	slovo	interjekce				5.5.3
diskusní	A2	slovo	adjektivum				6.5.3
diskžokej	A2	slovo	substantivum	maskulinum	singulár		6.5.12
dít se	A2	slovo	verbum			imperfektivní	4.1.3
divák	A2	slovo	substantivum	maskulinum	singulár		6.5.8
divný	A2	slovo	adjektivum				4.7.7
dnešní	A2	slovo	adjektivum				4.5.3
dobírka	A2	slovo	substantivum	femininum	singulár		6.8.7
docela	A2	slovo	adverbium				4.2.8
docent	A2	slovo	substantivum	maskulinum	singulár		6.10.4
docentka	A2	slovo	substantivum	femininum	singulár		6.10.4
dodržovat	A2	slovo	verbum			imperfektivní	6.6.5
dohoda	A2	slovo	substantivum	femininum	singulár		6.6.5
dokdy	A2	slovo	adverbium				4.5.10; 5.1.8
dokument	A2	slovo	substantivum	maskulinum	singulár		6.5.3
doleva	A2	slovo	adverbium				4.4.19
dolní	A2	slovo	adjektivum				4.4.2
doplácet	A2	slovo	verbum			imperfektivní	6.8.6
doplatek	A2	slovo	substantivum	maskulinum	singulár		6.2.6
doplatit	A2	slovo	verbum			perfektivní	6.8.6
dopolední	A2	slovo	adjektivum				4.5.1
doporučeně	A2	slovo	adverbium				6.8.11
doporučený	A2	slovo	adjektivum				6.8.11
doporučovat	A2	slovo	verbum			imperfektivní	6.3.3
doprava	A2	slovo	substantivum	femininum	singulár		6.5.4
dopravní	A2	slovo	adjektivum				6.9.1; 6.9.4; 6.9.6
doprostřed	A2	slovo	adverbium				4.4.19
dost	A2	slovo	adverbium				4.2.3; 4.2.8; 5.3.34
dostat	A2	slovo	verbum			perfektivní	6.6.5; 6.10.8; 6.11.1
dostavit se	A2	slovo	verbum			perfektivní	6.11.8
doufat	A2	slovo	verbum			imperfektivní	5.3.37
dovnitř	A2	slovo	adverbium				4.4.19
dovolit	A2	slovo	verbum			perfektivní	5.4.20; 5.5.16
dres	A2	slovo	substantivum	maskulinum	singulár		6.5.9
drobný	A2	slovo	adjektivum				6.1.14
droga	A2	slovo	substantivum	femininum	singulár		6.9.6
druh (druh a družka)	A2	slovo	substantivum	maskulinum	singulár		6.1.8
družka	A2	slovo	substantivum	femininum	singulár		6.1.8
družstvo (tým)	A2	slovo	substantivum	neutrum	singulár		6.5.8
držet	A2	slovo	verbum			imperfektivní	6.7.4
dřevěný	A2	slovo	adjektivum				4.6.9
dřevo	A2	slovo	substantivum	neutrum	singulár		4.6.9; 6.2.5
dřez	A2	slovo	substantivum	maskulinum	singulár		6.2.4
dříve	A2	slovo	adverbium				4.5.2
důchodový	A2	slovo	adjektivum				6.11.4
dusit	A2	slovo	verbum			imperfektivní	6.3.15
dušený	A2	slovo	adjektivum				6.3.7
dvůr	A2	slovo	substantivum	maskulinum	singulár		6.2.3
džem	A2	slovo	substantivum	maskulinum	singulár		6.3.13
džíny	A2	slovo	substantivum	maskulinum	pluralium tantum		6.8.3
e-mailový	A2	slovo	adjektivum				6.1.4
elektrický	A2	slovo	adjektivum				6.2.5; 6.8.2
elektrikář	A2	slovo	substantivum	maskulinum	singulár		6.8.10
elektronický	A2	slovo	adjektivum				6.5.15
elektronika	A2	slovo	substantivum	femininum	singulár		6.8.1
expres (rychlá služba)	A2	slovo	substantivum	maskulinum	singulár		6.8.11
facebook	A2	slovo	substantivum	maskulinum	singulár		6.1.4; 6.5.5
fakt	A2	slovo	substantivum	maskulinum	singulár		5.2.1; 5.2.17
fandit	A2	slovo	verbum			imperfektivní	6.5.8
fanoušek	A2	slovo	substantivum	maskulinum	singulár		6.5.8
fast food	A2	slovo	substantivum	maskulinum	singulár		6.3.2
fén	A2	slovo	substantivum	maskulinum	singulár		6.4.2
fix	A2	slovo	substantivum	maskulinum	singulár		6.10.3
fond	A2	slovo	substantivum	maskulinum	singulár		6.2.6
formulář	A2	slovo	substantivum	maskulinum	singulár		6.11.6
fyzický	A2	slovo	adjektivum				6.6.8
garsonka	A2	slovo	substantivum	femininum	singulár		6.2.1
GPS	A2	slovo	substantivum	femininum	singulár		6.1.3; 6.9.3
gratulovat	A2	slovo	verbum			imperfektivní	5.5.25
grilovaný	A2	slovo	adjektivum				6.3.7
grilovat	A2	slovo	verbum			imperfektivní	6.3.15
guma	A2	slovo	substantivum	femininum	singulár		4.6.9
gymnastika	A2	slovo	substantivum	femininum	singulár		6.5.7
halenka	A2	slovo	substantivum	femininum	singulár		6.8.3
hele	A2	slovo	interjekce				5.5.11
hi-fi	A2	slovo	substantivum	neutrum			6.2.5
hladký	A2	slovo	adjektivum				6.3.13
hlas	A2	slovo	substantivum	maskulinum	singulár		4.6.5
hlasovat	A2	slovo	verbum			imperfektivní	6.14.3
hlasový	A2	slovo	adjektivum				5.6.13
hloubka	A2	slovo	substantivum	femininum	singulár		4.3.3
hluboko	A2	slovo	adverbium				4.3.3
hluboký	A2	slovo	adjektivum				4.3.3
hlučný	A2	slovo	adjektivum				4.6.5
hmotný	A2	slovo	adjektivum				6.11.5
hmyz	A2	slovo	substantivum	maskulinum	singulár		6.13.2
hnusný	A2	slovo	adjektivum				5.3.3
hodit se	A2	slovo	verbum			imperfektivní	4.7.3; 5.5.7
holicí	A2	slovo	adjektivum				6.4.2
holit se	A2	slovo	verbum			imperfektivní	6.4.2
horečka	A2	slovo	substantivum	femininum	singulár		6.7.2
horní	A2	slovo	adjektivum				4.4.2
hořký	A2	slovo	adjektivum				4.6.6
hotový	A2	slovo	adjektivum				6.3.5
housle	A2	slovo	substantivum	femininum	pluralium tantum		6.5.6; 6.5.11
hranice	A2	slovo	substantivum	femininum	singulár		6.9.12
hrášek	A2	slovo	substantivum	maskulinum	singulár		6.3.10
hrnec	A2	slovo	substantivum	maskulinum	singulár		6.3.16
hrnek	A2	slovo	substantivum	maskulinum	singulár		4.2.3
hrozit	A2	slovo	verbum			imperfektivní	6.12.3
hroznový	A2	slovo	adjektivum				6.3.10
hrubý	A2	slovo	adjektivum				4.6.10; 6.3.13; 6.6.6
hřeben	A2	slovo	substantivum	maskulinum	singulár		6.4.2
hudební	A2	slovo	adjektivum				6.5.3; 6.5.6
hvězda	A2	slovo	substantivum	femininum	singulár		6.13.1
hygienický	A2	slovo	adjektivum				6.8.2
chalupa	A2	slovo	substantivum	femininum	singulár		6.5.2
chápat	A2	slovo	verbum			imperfektivní	5.3.36
charita	A2	slovo	substantivum	femininum	singulár		6.14.2
chat	A2	slovo	substantivum	maskulinum	singulár		6.5.5
chatovat	A2	slovo	verbum			imperfektivní	6.5.5
chemie	A2	slovo	substantivum	femininum	singulár		6.10.7
chirurg	A2	slovo	substantivum	maskulinum	singulár		6.7.6
chirurgický	A2	slovo	adjektivum				6.7.7
chodba	A2	slovo	substantivum	femininum	singulár		6.2.3
chodník	A2	slovo	substantivum	maskulinum	singulár		6.9.4
chovat (chovat zvíře)	A2	slovo	verbum			imperfektivní	6.5.6; 6.13.2
chrám	A2	slovo	substantivum	maskulinum	singulár		6.1.11
chuť	A2	slovo	substantivum	femininum	singulár		4.6.6; 5.3.4; 5.3.5; 5.3.6; 5.3.11; 5.5.5; 5.5.26
chutný	A2	slovo	adjektivum				4.6.6
chybět	A2	slovo	verbum			imperfektivní	4.1.1; 4.1.2
chytat	A2	slovo	verbum			imperfektivní	6.5.6
informatička	A2	slovo	substantivum	femininum	singulár		6.6.1
instalatér	A2	slovo	substantivum	maskulinum	singulár		6.8.10
inteligentní	A2	slovo	adjektivum				6.1.15
internet	A2	slovo	substantivum	maskulinum	singulár		6.2.5; 6.2.6
internetový	A2	slovo	adjektivum				6.8.1; 6.8.12
interní	A2	slovo	adjektivum				6.7.7
invalidní	A2	slovo	adjektivum				6.11.4
jakž takž	A2	slovo	adverbium				5.5.17
jarní	A2	slovo	adjektivum				4.5.1
jasný	A2	slovo	adjektivum				4.6.4; 5.7.2;
játra	A2	slovo	substantivum	neutrum	pluralium tantum		6.7.1
jazzový	A2	slovo	adjektivum				6.5.15
jednatel	A2	slovo	substantivum	maskulinum	singulár		6.6.8
jednatelka	A2	slovo	substantivum	femininum	singulár		6.6.8
jemný	A2	slovo	adjektivum				4.6.6; 4.6.10
jesle	A2	slovo	substantivum	femininum	pluralium tantum		6.10.1
jestli	A2	slovo	konjunkce				4.8.7; 5.1.7; 6.10.5
jezero	A2	slovo	substantivum	neutrum	singulár		6.13.1
jinam	A2	slovo	adverbium				4.4.19
jinde	A2	slovo	adverbium				4.4.2
jistě	A2	slovo	adverbium				5.2.16
jižní	A2	slovo	adjektivum				4.4.3
jo	A2	slovo	partikule				5.2.1; 5.2.30
JUDr.	A2	slovo	substantivum	maskulinum / femininum	singulár		6.1.2
k	A2	slovo	prepozice				6.1.11; 6.1.12; 6.2.5
kabelka	A2	slovo	substantivum	femininum	singulár		6.8.3
kadeřník	A2	slovo	substantivum	maskulinum	singulár		6.6.1
kachna	A2	slovo	substantivum	femininum	singulár		6.3.7
kamion	A2	slovo	substantivum	maskulinum	singulár		6.9.1
kapela	A2	slovo	substantivum	femininum	singulár		6.5.12
kapesník	A2	slovo	substantivum	maskulinum	singulár		6.4.2
kapky	A2	slovo	substantivum	femininum	pluralium tantum		6.8.6
kapr	A2	slovo	substantivum	maskulinum	singulár		6.3.7; 6.7.11
kapusta	A2	slovo	substantivum	femininum	singulár		6.3.10
kardiolog	A2	slovo	substantivum	maskulinum	singulár		6.7.6
kartáč	A2	slovo	substantivum	maskulinum	singulár		6.4.2
kaše	A2	slovo	substantivum	femininum	singulár		6.3.8
katolička	A2	slovo	substantivum	femininum	singulár		6.1.11
katolík	A2	slovo	substantivum	maskulinum	singulár		6.1.11
kdysi	A2	slovo	adverbium				4.5.2
když	A2	slovo	konjunkce				4.8.7
keř	A2	slovo	substantivum	maskulinum	singulár		6.13.2
klávesnice	A2	slovo	substantivum	femininum	singulár		6.5.5
klenotnictví	A2	slovo	substantivum	neutrum	singulár		6.8.1
klesat	A2	slovo	verbum			imperfektivní	4.3.9
klesnout	A2	slovo	verbum			perfektivní	4.3.9
klidně	A2	slovo	adverbium				5.2.29
klobouk	A2	slovo	substantivum	maskulinum	singulár		6.8.3
klub	A2	slovo	substantivum	maskulinum	singulár		6.14.2
knihkupectví	A2	slovo	substantivum	neutrum	singulár		6.8.1
knihovna	A2	slovo	substantivum	femininum	singulár		6.2.4; 6.5.14; 6.10.2
knír	A2	slovo	substantivum	maskulinum	singulár		6.1.14
koberec	A2	slovo	substantivum	maskulinum	singulár		6.2.4
kofola	A2	slovo	substantivum	femininum	singulár		6.3.14
koláč	A2	slovo	substantivum	maskulinum	singulár		6.3.11
kolej (ubytování)	A2	slovo	substantivum	femininum	singulár		6.2.1
kolo (kolo u auta)	A2	slovo	substantivum	neutrum	singulár		6.9.3
komerční	A2	slovo	adjektivum				6.7.12
konat se	A2	slovo	verbum			imperfektivní	6.5.11
koncertní	A2	slovo	adjektivum				6.5.10
koníček	A2	slovo	substantivum	maskulinum	singulár		6.5.2; 6.5.6
konvice	A2	slovo	substantivum	femininum	singulár		6.2.5
konzultace	A2	slovo	substantivum	femininum	singulár		6.10.6
koření	A2	slovo	substantivum	neutrum	singulár		6.3.13
kost	A2	slovo	substantivum	femininum	singulár		6.7.1
kostým	A2	slovo	substantivum	maskulinum	singulár		6.8.3
košík	A2	slovo	substantivum	maskulinum	singulár		6.8.4
kotel	A2	slovo	substantivum	maskulinum	singulár		6.2.5
kotník	A2	slovo	substantivum	maskulinum	singulár		6.7.1
kousek	A2	slovo	substantivum	maskulinum	singulár		4.2.3
kout	A2	slovo	substantivum	maskulinum	singulár		6.2.3; 6.2.4
kovový	A2	slovo	adjektivum				4.6.9
krabice	A2	slovo	substantivum	femininum	singulár		4.2.3
krabička	A2	slovo	substantivum	femininum	singulár		4.2.3
krádež	A2	slovo	substantivum	femininum	singulár		6.12.1
kraj (místo)	A2	slovo	substantivum	maskulinum	singulár		4.4.2
krájet	A2	slovo	verbum			imperfektivní	6.3.15
krajina	A2	slovo	substantivum	femininum	singulár		6.13.1
krátce	A2	slovo	adverbium				4.5.12
kravata	A2	slovo	substantivum	femininum	singulár		6.8.3
krb	A2	slovo	substantivum	maskulinum	singulár		6.2.5
krejčí	A2	slovo	substantivum	maskulinum	singulár		6.8.10
krejčovství	A2	slovo	substantivum	neutrum	singulár		6.8.8
krize	A2	slovo	substantivum	femininum	singulár		6.12.3
kruh	A2	slovo	substantivum	maskulinum	singulár		4.6.1
kruhový	A2	slovo	adjektivum				6.9.4
krvácet	A2	slovo	verbum			imperfektivní	6.7.2
krychlový	A2	slovo	adjektivum				4.3.8
křehký	A2	slovo	adjektivum				4.6.10
křeslo	A2	slovo	substantivum	neutrum	singulár		6.2.4
křesťan	A2	slovo	substantivum	maskulinum	singulár		6.1.11
křesťanka	A2	slovo	substantivum	femininum	singulár		6.1.11
křesťanský	A2	slovo	adjektivum				6.1.11
křivý	A2	slovo	adjektivum				4.6.1
kudrnatý	A2	slovo	adjektivum				6.1.14
kudy	A2	slovo	adverbium				4.4.4; 4.4.15; 4.4.16; 5.1.8; 5.1.9
kufr	A2	slovo	substantivum	maskulinum	singulár		6.8.3; 6.9.12
kuchařka (kniha)	A2	slovo	substantivum	femininum	singulár		6.3.15
kuchyňský	A2	slovo	adjektivum				6.2.3
kulatý	A2	slovo	adjektivum				4.6.1
kulečník	A2	slovo	substantivum	maskulinum	singulár		6.5.6
kulturní	A2	slovo	adjektivum				6.5.10
kůň	A2	slovo	substantivum	maskulinum	singulár		6.13.2
kupé	A2	slovo	substantivum	neutrum	singulár		6.9.10
kurt	A2	slovo	substantivum	maskulinum	singulár		6.5.9
kurz (kurz peněz)	A2	slovo	substantivum	maskulinum	singulár		6.8.13
kuřecí	A2	slovo	adjektivum				6.3.7
kus	A2	slovo	substantivum	maskulinum	singulár		4.2.3
kůže (kůže na těle)	A2	slovo	substantivum	femininum	singulár		6.7.1
kvalita	A2	slovo	substantivum	femininum	singulár		4.7.1
kvalitní	A2	slovo	adjektivum				4.7.1
květinářství	A2	slovo	substantivum	neutrum	singulár		6.8.1
kyselý	A2	slovo	adjektivum				4.6.6
láhev	A2	slovo	substantivum	femininum	singulár		4.2.3; 4.3.8
látka	A2	slovo	substantivum	femininum	singulár		4.6.9
léčit	A2	slovo	verbum			imperfektivní	6.7.6
léčit se	A2	slovo	verbum			imperfektivní	6.7.4
lednový	A2	slovo	adjektivum				4.5.1
ledviny	A2	slovo	substantivum	femininum	plurál		6.7.1
lehat si	A2	slovo	verbum			imperfektivní	4.4.6
lehce	A2	slovo	adverbium				4.7.5
lehnout si	A2	slovo	verbum			perfektivní	4.4.6
lékárnička	A2	slovo	substantivum	femininum	singulár		6.9.3
let	A2	slovo	substantivum	maskulinum	singulár		4.4.4; 6.9.11
létat	A2	slovo	verbum			imperfektivní	4.4.4
letecky	A2	slovo	adverbium				6.8.11
letní	A2	slovo	adjektivum				4.5.1
letos	A2	slovo	adverbium				4.5.3
letový	A2	slovo	adjektivum				6.9.11
letuška	A2	slovo	substantivum	femininum	singulár		6.9.11
levý	A2	slovo	adjektivum				4.4.2
lézt	A2	slovo	verbum			imperfektivní	4.4.4
lidový	A2	slovo	adjektivum				6.5.15
linka (kuchyňská linka)	A2	slovo	substantivum	femininum	singulár		6.2.4
listonoš	A2	slovo	substantivum	maskulinum	singulár		6.8.10
listonoška	A2	slovo	substantivum	femininum	singulár		6.8.10
lít	A2	slovo	verbum			imperfektivní	4.4.5
literatura	A2	slovo	substantivum	femininum	singulár		6.5.14
líto	A2	slovo	adverbium				5.5.1
litovat	A2	slovo	verbum			imperfektivní	5.3.21; 5.4.7; 5.4.10
loď	A2	slovo	substantivum	femininum	singulár		6.9.1
loket	A2	slovo	substantivum	maskulinum	singulár		6.7.1
loni	A2	slovo	adverbium				4.5.2
ložnice	A2	slovo	substantivum	femininum	singulár		6.2.3
lux	A2	slovo	substantivum	maskulinum	singulár		6.4.3
luxovat	A2	slovo	verbum			imperfektivní	6.4.3
lůžko	A2	slovo	substantivum	neutrum	singulár		6.7.7
lyžař	A2	slovo	substantivum	maskulinum	singulár		6.5.7
lyžařka	A2	slovo	substantivum	femininum	singulár		6.5.7
lyže	A2	slovo	substantivum	femininum	pluralium tantum		6.5.9
lžíce	A2	slovo	substantivum	femininum	singulár		4.2.3; 6.3.16
majetek	A2	slovo	substantivum	maskulinum	singulár		4.8.9
majitel	A2	slovo	substantivum	maskulinum	singulár		4.8.9; 6.2.2
makléř	A2	slovo	substantivum	maskulinum	singulár		6.8.10
maličkost	A2	slovo	substantivum	femininum	singulár		5.5.4
malíř	A2	slovo	substantivum	maskulinum	singulár		6.5.12
malířka	A2	slovo	substantivum	femininum	singulár		6.5.12
malovat	A2	slovo	verbum			imperfektivní	6.5.6
malovat se	A2	slovo	verbum			imperfektivní	6.4.2
mandarinka	A2	slovo	substantivum	femininum	singulár		6.3.10
manikúra	A2	slovo	substantivum	femininum	singulár		6.8.8
masáž	A2	slovo	substantivum	femininum	singulár		6.12.2
masáže	A2	slovo	substantivum	femininum	plurál		6.8.8
masírovat	A2	slovo	verbum			imperfektivní	6.8.9
mast	A2	slovo	substantivum	femininum	singulár		6.8.6
mateřská	A2	slovo	substantivum	femininum	singulár		6.11.4
mateřský	A2	slovo	adjektivum				6.6.2; 6.10.1; 6.11.4; 6.14.1
matrika	A2	slovo	substantivum	femininum	singulár		6.11.1
maturita	A2	slovo	substantivum	femininum	singulár		6.10.9
maturitní	A2	slovo	adjektivum				6.10.8
med	A2	slovo	substantivum	maskulinum	singulár		6.3.13
měna	A2	slovo	substantivum	femininum	singulár		6.8.13
menstruace	A2	slovo	substantivum	femininum	singulár		6.7.9
menší	A2	slovo	adjektivum				4.3.1
menza	A2	slovo	substantivum	femininum	singulár		6.3.2; 6.10.2
meruňka	A2	slovo	substantivum	femininum	singulár		6.3.10
Měsíc	A2	slovo	substantivum	maskulinum	singulár		6.13.1
měsíčně	A2	slovo	adverbium				4.5.13
měsíční	A2	slovo	adjektivum				4.5.1
mešita	A2	slovo	substantivum	femininum	singulár		6.1.11
metalový	A2	slovo	adjektivum				6.5.15
mezinárodní	A2	slovo	adjektivum				6.9.9
míchat	A2	slovo	verbum			imperfektivní	6.3.15
mikrovlnka	A2	slovo	substantivum	femininum	singulár		6.2.5
milimetr	A2	slovo	substantivum	maskulinum	singulár		4.3.3
minimální	A2	slovo	adjektivum				6.6.6
ministr	A2	slovo	substantivum	maskulinum	singulár		6.14.3
ministryně	A2	slovo	substantivum	femininum	singulár		6.14.3
minulost	A2	slovo	substantivum	femininum	singulár		4.5.2
místenka	A2	slovo	substantivum	femininum	singulár		6.9.9
mistrovství	A2	slovo	substantivum	neutrum	singulár		6.5.8
mladě	A2	slovo	adverbium				4.6.13
mládež	A2	slovo	substantivum	femininum	singulár		4.6.13
mlha	A2	slovo	substantivum	femininum	singulár		6.13.3
mnoho	A2	slovo	numerále				4.2.3
mnohokrát	A2	slovo	numerále				4.5.13
model	A2	slovo	substantivum	maskulinum	singulár		6.8.5
moderně	A2	slovo	adverbium				4.6.13
mokro	A2	slovo	adverbium				4.6.2
monitor	A2	slovo	substantivum	maskulinum	singulár		6.5.5
motorka	A2	slovo	substantivum	femininum	singulár		6.9.1
mouka	A2	slovo	substantivum	femininum	singulár		6.3.13
možná	A2	slovo	adverbium				5.2.19
možný	A2	slovo	adjektivum				5.2.20; 5.2.23; 5.3.28
mrak	A2	slovo	substantivum	maskulinum	singulár		6.13.3
muslim	A2	slovo	substantivum	maskulinum	singulár		6.1.11
muslimka	A2	slovo	substantivum	femininum	singulár		6.1.11
mužský	A2	slovo	adjektivum				6.1.7
myslet	A2	slovo	verbum			imperfektivní	5.2.4; 5.2.20; 5.7.5
myš	A2	slovo	substantivum	femininum	singulár		6.5.5
nabídka	A2	slovo	substantivum	femininum	singulár		6.3.5
nabídnout	A2	slovo	verbum			perfektivní	6.8.4
náboženský	A2	slovo	adjektivum				6.1.11
náboženství	A2	slovo	substantivum	neutrum	singulár		6.1.11
nadřízený	A2	slovo	substantivum	maskulinum	singulár		6.6.4
najíst se	A2	slovo	verbum			perfektivní	6.3.1
najít	A2	slovo	verbum			perfektivní	6.6.7
